type,workspace,send_date,campaign_or_step,sends,opens,open_rate,clicks,click_rate,ctor,orders_xbrand,revenue_xbrand,rev_per_1k
blast,CZ,2026-05-08,P_EM_2026_05_09_CZ_PC_D_World_Fair_Trade_Day,42418,22119,0.5215,734,0.0173,0.0332,15,5295.60,124.84
blast,ID,2026-05-13,P_EM_2026_05_13_ID_PC_D_TRADE_ID_CZ_Memorial_Day_Sale_Is_Live,22097,9870,0.4467,135,0.0061,0.0137,1,2669.00,120.79
blast,ID,2026-05-14,P_EM_2026_05_15_D_TRADE_ID_PR_In_Stock_Quick_Ship,22186,9810,0.4422,106,0.0048,0.0108,0,0.00,0.00
blast,ID,2026-05-18,P_EM_2026_05_19_D_TRADE_TI_STF_Now_Live_Memorial_Day_Sale,22132,9902,0.4474,221,0.0100,0.0223,4,8268.01,373.58
blast,ID,2026-05-20,P_EM_2026_05_21_D_TRADE_ID_CZ_TI_STF_MDW_Sale_Shop_Across_All_Brands,22172,9746,0.4396,96,0.0043,0.0099,0,0.00,0.00
blast,ID,2026-05-20,P_EM_2026_05_20_TRADE_PT_CZ_Trade_Boost,378,196,0.5185,8,0.0212,0.0408,0,0.00,0.00
blast,ID,2026-05-25,P_EM_2026_05_26_TRADE_PT_ID_And_CZ_And_TI_And_STF_Last_Chance_MDW_Sale,22159,9811,0.4428,254,0.0115,0.0259,1,208.00,9.39
blast,ID,2026-05-29,P_EM_2026_05_29_D_TRADE_ID_Extension_Is_Live,22102,9774,0.4422,84,0.0038,0.0086,0,0.00,0.00
blast,ID,2026-06-01,P_EM_2026_06_02_TRADE_PT_ID_And_CZ_And_TI_Last_Day,22187,9885,0.4455,224,0.0101,0.0227,0,0.00,0.00
blast,ID,2026-06-04,P_EM_2026_06_04_D_TRADE_CZ_New_Sofas,22153,9769,0.4410,131,0.0059,0.0134,0,0.00,0.00
blast,ID,2026-06-08,P_EM_2026_06_09_D_TRADE_ID_Contract Grade,22156,9717,0.4386,113,0.0051,0.0116,0,0.00,0.00
blast,ID,2026-06-11,P_EM_2026_06_12_D_TRADE_STF_Color_Edit_Sundrenched_Citrus,22149,9651,0.4357,89,0.0040,0.0092,0,0.00,0.00
blast,ID,2026-06-17,P_EM_2026_06_17_TRADE_PT_ID_Warehouse_Sale,22045,10151,0.4605,764,0.0347,0.0753,5,8826.49,400.38
blast,ID,2026-06-23,P_EM_2026_06_23_D_TRADE_Value_Props_ID_CZ_TI_STF,22072,9543,0.4324,81,0.0037,0.0085,0,0.00,0.00
blast,ID,2026-06-24,P_EM_2026_06_25_D_TRADE_ID_TI_Pattern_Pairings_for_Trade,22070,9526,0.4316,72,0.0033,0.0076,0,0.00,0.00
